job_title	post_url	company	location	summary
Senior Software Engineer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CO5LUmbofitvFJGENPNXh9cyPDBCIqZLMFPrsRSwFSlbR7ZKq-_FfBbNsEUg6QJwsNebxr8TlPznRXtOQdg5sDJdmucZd0lnDz_q04ss66J52KUcJ9K0qCiVdoe7mxlCp0C--k55P0Gm4m81gLqpNEdEXLmm9dgbV3zuAAo0IyxPkXaD51i3N3cWw42XGUrxqn6QoYGJaL39N0gvYMTZGZT84sFqyoG6EdvFDWa9Pwb-cZ3cJlVLSztjwPb7VSk99ywqqahLsaYIR3Uc6GYnGH3QNYeACuUiQ2u7dsuYj_FSIGjRoL4Xq49HfHYzsO4KICaxzxM-OulyOH63-1ck3ajjk3u5k_0ojtG0gf6sz_tDis_VY0gbclOa_nY4F8ruvxl-WidWXQRYoQgwBARKR9rq305YgczX-RSevRZOgpo8quYWXrp0sEuNSbTr_ldN-gr1d5he4qW9YUVcNcUmDWGVWnYKmRjvF4uGoLUZ7YVrIvD9sjYEQ0tcrQ-vvMO0s=&vjs=3&p=2&fvj=1	Growing Startup	Virginia Beach, VA	4+ years as a professional software engineer. Develop software applications using best practices in coordination with a distributed team....
Software Development Manager	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ClDtCrwSJZ0kWsTYt79Izf4Y01pp4Vi5ageK6aeAVJRlMkMEq04KWONkZDvgNOxY79ry1eHZklkn44OCbAjDfJUCfm2UVed3VnEU3nGqaoLLYeLPcoI6H6F2WsapFVHTviHHkF9sj7LGYSFb_0jyoe0jqitJxaJmIsZzQf5mcgVv8UmkdnELTs0UHcqkiHM7iEYwpgI4gVpHSrUJI3gd_rnCLSO-kUTrGhwmiYM1fsPyp1sBmGOMKNjL5LhBGIw8P_Hbc_pD_CX4nVhG1q9YCSHRFnmNi9rERSVjZnZGmfyF3evTfqOvnj5XjJ3jRjGS3eBN9moKY9H3DxgMhlc_ZJSQyq5Wo8qirlXBNU7TUexWJbqZ7e1eFoeMHn_JfSGQgKvGBbBbbtu2u5Ggi7_A6n9zHPN-35O02JDfayyBHwTCec-Ohvp16qbEjm0qPTifImcUXzrQxgcqT14zz_SJSiJ7G8WKk1a_VVfsSA3kA3_ZIcUUSoKZEQBhfHHXva4-k=&vjs=3&p=3&fvj=1	NCS Technologies, Inc.	Gainesville, VA 20155	Experienced in C/C++ programming. We are seeking a Software Development Manager (SDM) to assemble and lead a team of software engineers to execute the foregoing...
Back-End Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0At6q5_xR9Oi6iKmt1wLy4v3kr49HddCZFxqoGG6XsfkLYAXwDHuuCstCNtlQ5p5GCDaFOf1Q5oOIB5_r1LCiGcggaOxf2gIUw_ew8njfGf881SWy-P5QvYZDESMJjI1oS6tu6tV3RS5Rq5OmtRDmYBZoDQi8Lysx15KMURHQrP2UtzZjCINUFajCmFqEj_D_VFjiZsoBK4cIHCXfWkY6di0lZSKGGVumZ3FkQ41O_gnwhfWtj0eQ-oefhafvdDNgFkcPlbuUVQN08ErvtWdurU3SKvnWkm5Z6HzL4bwx8b3lSxjdsoGsKZ1EjN5o5Q71jFCQOYA8yhC2UFNzlUcQC8ZSQKLbs5Qt9mWJEnQyVoJMPZxFMDh4rt1M9TgOCPTBp9gT_xPZdl7UORQ5V9s_ZSMaZYZLAHgmXNkY6H37dICHXeTl11zAP-BRsrkCJ_7yD_-k9LfCJNiRZqh-josYPZdP0sjWRiPe5IiHWFphMNqOI263TsM2IsK1ocSWvUwDQsoDW5CKN8Ctx5ftQkDFA-Y93sRXkXGwxTyyyklhfqZQ==&vjs=3&p=4&fvj=0	PIEtech, Inc.	Powhatan, VA	Implementation of security and data protection. 1+ years’ experience with client facing software. Is the developer of MoneyGuidePro financial planning software....
Computer Science Intern	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CXELgAtUQhYXJPuOCgdO1_GLSHWM59IvmfGFTB-XV5Eaok2F7KN95E8dQxuJZjif-yfARigsBjAJ4wiQKWyr1ZGVQNNu64tzHvYeHI8FlWOFQNCIgIxqjNs0CU8nl892G2eP1gRWA1qSib-Q9j02t0OcUhWVpuTun839nfdSwzIJXJLyWrewGZx-YgDuWwGXcMhdLDMQ1Z1JsiQr_sEsM9QayPKISd85aEDoxa3GxvLSCN2cRmObixiB6LvPOIBTWB3VKO0sEmp4PCoGHWTqXzTLA6I-bPPZqNXmh4knH6xGItA8EsFEo6m8qHeD7g6iusR9WMM20JrbGlkTeN6HGQ3xGg5ZeFKxx2LOSk7nH0fkBlYXvxg0rKRvwRiLH_URNWDUTMMIkS7AnEeXxVTJ2w4w6K-YgZ1HX7ty_3WBcB-dX4fKHBVH42fQjSpo8n4jYT0DDAaEPoVB9_UI-lRQhKecOiN5NLVVbFIvNZaSi9vnYhAz4akoOcsU4t6jzTc0kEnX9N8-Cb0qs_xURUsi8RAdmm77YgdgR-SjoGzWy6-lztrajymPEOBYVpmbMM5d2o7gNYvSakJ1_r_qnDlAogVmoB0YEzWmRE_k-l2oJYdDIR8AYkI44G8KZwwfeOLy6iU_ZDIMMK6w==&vjs=3&p=5&fvj=0	Perspecta	Reston, VA	Overview Every day at Perspecta, we enable hundreds of thousands of people to take on our nation’s most important work. We’re a company founded on a diverse...
Software Developer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CVPP8W9GImstOM9RQUalutpinCztg4vO8VdAisxPfy05sZChcpY3nUHorHUpIjGtMpMprNPF1AVQJjoPzFY3gK3ET_zEQzmBt3x1tW4herj6pmobMkgNgvf-isObyRGR1M08XSwlBv8GrOjhUix1iVic_mAr3fn9JgEiGIU2dyMSx30C6b-iODGP9kr9g3UeNfYfFrbkB135AlYMb12SjdCIFMf6uiAWos82cAcYlapOha2vTEVGEq74gI1s_0FojKdNW7Yc2UO4ho_9367eHC7j1TqFvkjRCwRTP1mOQxk3QnOAUNqeWPLByn_ekIHocFmZuYMO44d3NF_hk56MiG1J2icIqtIgvrNdaCp14dKSO14gPNnUIXhMjS7Nd8HWxpXsKmCYDu4hwrqApZM6GrpStDtClKo00C3ot9TPCWLUdarM-noV-VCYEQ0lBoJaB7pxPLRdLy2w==&vjs=3&p=6&fvj=0	Jenzabar	Harrisonburg, VA 22801	Familiarity with administrative software for higher education. Programming experience utilizing C# and ASP.Net is required....
Software QA Engineer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dhy1Dp6ZJOto93m1fOhOOCdBuJI3jFIn9Y_DpAGA8MgmuwRfo-33Ba9VQNoiMvma9SzyLvxGKDgWT5xfDeP1Y3TZ2QmGXTzkzD9GkVd_EL7U8Q-hCpuF-AbdtRfmo1SCdPHS3Zh9ms-l7OCGjqbA98adzLWmbD3jJekY9-t4oZ_6R7PpwlS1ijQYlymC-hCqaZtHimXQ0YuxA7PEypVknKt3jZ3eJ911Dc_2rz7-uYxLdsm8f_MhxAe8BaSHd6iTSxmbTlM8hZAsJKR2zPC1Q2AjuiLa23OhlNVQRkGwpbpRn0stEX6tCTrF66NJB5xS3C6u-oM_lkq387_bMekWs9q-JnBY3FESnQkWtRQ7HFkVxLcSKVeAIDrA4EjYgGLUjkQkMcs1vplDsFnvj3pzKSyyNXiRToHyUZ2Jn60JxS65P7WQhKCdgAIE269wF7qlqhn8drCVvNVbS4brVohPt5xqTxz6a1UJ-C_0Hr8AW5gRO_EgElzxs0&vjs=3&p=7&fvj=1	HealthSavings Administrators	Richmond, VA	SQL and data analysis:. 5 years of software test experience. Bachelor's Degree in Information Technology or related field;...
Software Developer (Intern)	https://www.indeed.com/rc/clk?jk=1fa7f0dda335d8bf&fccid=11caadcdc98800d4&vjs=3	General Dynamics Information Technology	Herndon, VA 20171	Majors in Computer Science, Computer Engineering or related field of study. Our Technology Internship Program is designed for those with an interest in software...
2019 Intern - System / Software Engineering	https://www.indeed.com/rc/clk?jk=c1385cd525c4249b&fccid=11619ce0d3c2c733&vjs=3	Northrop Grumman	Fairfax, VA 22033	Bemajoringin Computer Engineering, Computer Science, Cybersecurity, Management Information Systems, or a related discipline from an accredited college...
Information Technologist Level 1-3	https://www.indeed.com/company/FedData/jobs/Information-Technologist-Level-40a1f073181b1ab3?fccid=8370d1fb6ca556d1&vjs=3	FedData	Fort Lee, VA	Required to be thoroughly knowledgeable in the use of software tools and processes to load software images on and configuration to manage the supported...
Information Technology Intern	https://www.indeed.com/rc/clk?jk=4f0f6ebe0f1ba0f7&fccid=290a4498a64fc044&vjs=3	CACI	Ashburn, VA 20147	Completion of two or more of college level computer science related courses. CACI is looking for an intern to support information technology related tasks on...
